manifest_version,snapshot_sha256,batch_id,candidate_id,input_sha256,weight
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0075,2e095226d10ebae33b023972db906550ff3fd657d268db20a0ad7e5050cffbd6,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0081,f687a2888d074903e69fd750176a048479ac31581d9e73195ea6640b318ef12a,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0084,c4c5fda0922d9ad70311c945b0fe254cb797896fd67722223d3c2afd29c8ba41,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0086,8ca38d1e7581e84a24bf69383782698ba12465e2b29da8e874f45d0ddfac404c,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0087,858a51bed87205830f3df75b361657220d2c17ad4f9d4108846e7c32d2822b8e,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0091,2a4824f107f402cf77c96570648666fcf84a765b380e8a1c45bf58a48ab17a2d,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0102,77f7c8123bea2580655c6936ba0098aae1ea9d8a1f554db2a49e9c20820112c7,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0113,defc1dfb11873c77db5487cb6514861844b0377c8d0af5f5408257d19c5b795d,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0116,2639856d553de982deca0217ec9b11d1a47d715377558f5b04288611e7df3d12,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0130,32a9f881c1a8a0d702249a15f9dffc175a18aa278c8532345fb883a044bd8665,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0134,1ad2efe373c7957f3d443f73fd209e5d001a806ee71fb74200bc6294c3e8ea84,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0139,d5be91dbb4fadfee575fd3d4a8655a921bca585a84663a83d0d3f72823c15e84,1
1,303e6b0efb7a94be636ce0b22de9454062029ef9193ef5e0442aee263227ecec,metadata-02,C0143,b2f39681f5a034872dc8244f26875f66dddb8b7dca8aeb40439de1a73ace8ac0,4
