candidate_id,cite_key,entry_type,key_author,authors,author_kinds,title,year,venue_field,venue,doi,url
C0073,Kaufmann2018DeepDrone,inproceedings,Kaufmann,Elia Kaufmann; Antonio Loquercio; Rene Ranftl; Alexey Dosovitskiy; Vladlen Koltun; Davide Scaramuzza,personal;personal;personal;personal;personal;personal,Deep Drone Racing: Learning Agile Flight in Dynamic Environments,2018,booktitle,Proceedings of The 2nd Conference on Robot Learning,,https://proceedings.mlr.press/v87/kaufmann18a.html
C0076,Kaufmann2023ChampionLevel,article,Kaufmann,Elia Kaufmann; Leonard Bauersfeld; Antonio Loquercio; Matthias Müller; Vladlen Koltun; Davide Scaramuzza,personal;personal;personal;personal;personal;personal,Champion-level drone racing using deep reinforcement learning,2023,journal,Nature,10.1038/s41586-023-06419-4,
C0101,Klampfl2022UsingGenetic,article,Klampfl,Lorenz Klampfl; Florian Klück; Franz Wotawa,personal;personal;personal,Using Genetic Algorithms for Automating Automated Lane-Keeping System Testing,2022,journal,Journal of Software: Evolution and Process,10.1002/smr.2520,
C0109,Klikovits2023FreneticLib,article,Klikovits,Stefan Klikovits; Ezequiel Castellano; Ahmet Cetinkaya; Paolo Arcaini,personal;personal;personal;personal,Frenetic-lib: An extensible framework for search-based generation of road structures for ADS testing,2023,journal,Science of Computer Programming,10.1016/j.scico.2023.102996,
C0017,KlimovNodateCarRacing,misc,Klimov,Oleg Klimov,personal,Car Racing,,howpublished,Gymnasium Documentation,,https://gymnasium.farama.org/environments/box2d/car_racing/
C0014,Kluck2021AutomaticGeneration,misc,Klück,Florian Klück;Lorenz Klampfl;Franz Wotawa,personal;personal;personal,Automatic Generation of Challenging Road Networks for ALKS Testing based on Bezier Curves and Search,2021,howpublished,arXiv,10.48550/arxiv.2103.01288,https://arxiv.org/abs/2103.01288
C0078,Krinner2024MPCCModel,inproceedings,Krinner,Maria Krinner;Angel Romero;Leonard Bauersfeld;Melanie Zeilinger;Andrea Carron;Davide Scaramuzza,personal;personal;personal;personal;personal;personal,MPCC++: Model Predictive Contouring Control for Time-Optimal Flight with Safety Constraints,2024,booktitle,Robotics: Science and Systems XX,10.15607/rss.2024.xx.109,
C0104,Krishnan2021AirLearning,article,Krishnan,Srivatsan Krishnan; Behzad Boroujerdian; William Fu; Aleksandra Faust; Vijay Janapa Reddi,personal;personal;personal;personal;personal,Air Learning: a deep reinforcement learning gym for autonomous aerial robot visual navigation,2021,journal,Machine Learning,10.1007/s10994-021-06006-6,
C0159,Kulkarni2024ReinforcementLearning,inproceedings,Kulkarni,Mihir Kulkarni; Kostas Alexis,personal; personal,Reinforcement Learning for Collision-free Flight Exploiting Deep Collision Encoding,2024,booktitle,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10610287,
C0131,Kulkarni2025AerialGym,article,Kulkarni,Mihir Kulkarni;Welf Rehberg;Kostas Alexis,personal;personal;personal,Aerial Gym Simulator: A Framework for Highly Parallelized Simulation of Aerial Robots,2025,journal,IEEE Robotics and Automation Letters,10.1109/lra.2025.3548507,
C0059,Lagemann2023TangentPoint,article,Lagemann,Anna Lagemann; Heiko von der Mosel,personal;personal,Tangent-point energies and ropelength as Gamma-limits of discrete tangent-point energies on biarc curves,2023,journal,Advances in Continuous and Discrete Models,10.1186/s13662-022-03750-4,https://arxiv.org/abs/2203.16383
C0132,LeBars2015WorldRobotic,inproceedings,LeBars,Fabrice Le Bars; Luc Jaulin,personal; personal,"The World Robotic Sailing Championship, a Competition to Stimulate the Development of Autonomous Sailboats",2015,booktitle,OCEANS 2015 - Genova,10.1109/oceans-genova.2015.7271767,
C0033,Lee2025ChampionLevel,article,Lee,Hojoon Lee; Takuma Seno; Jun Jet Tai; Kaushik Subramanian; Kenta Kawamoto; Peter Stone; Peter R. Wurman,personal;personal;personal;personal;personal;personal;personal,A Champion-Level Vision-Based Reinforcement Learning Agent for Competitive Racing in Gran Turismo 7,2025,journal,IEEE Robotics and Automation Letters,10.1109/lra.2025.3560873,
C0112,Lesy2026ASVSimAirSim,article,Lesy,Bavo Lesy; Siemen Herremans; Robin Kerstens; Jan Steckel; Walter Daems; Siegfried Mercelis; Ali Anwar,personal;personal;personal;personal;personal;personal;personal,ASVSim (AirSim for Surface Vehicles): A High-Fidelity Simulation Framework for Autonomous Surface Vehicle Research,2026,journal,IEEE Access,10.1109/access.2026.3687084,
C0006,Li2020ImprovingGeneralization,misc,Li,Quanyi Li; Zhenghao Peng; Qihang Zhang; Chunxiao Liu; Bolei Zhou,personal;personal;personal;personal;personal,Improving the Generalization of End-to-End Driving through Procedural Generation,2020,howpublished,arXiv,10.48550/arxiv.2012.13681,https://arxiv.org/abs/2012.13681
C0046,Li2023MetaDriveComposing,article,Li,Quanyi Li; Zhenghao Peng; Lan Feng; Qihang Zhang; Zhenghai Xue; Bolei Zhou,personal;personal;personal;personal;personal;personal,MetaDrive: Composing Diverse Driving Scenarios for Generalizable Reinforcement Learning,2023,journal,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/tpami.2022.3190471,
C0161,Liang2025EnvironmentCurriculum,inproceedings,Liang,William Liang; Sam Wang; Hung-Ju Wang; Osbert Bastani; Dinesh Jayaraman; Yecheng Jason Ma,personal;personal;personal;personal;personal;personal,Environment Curriculum Generation via Large Language Models,2025,booktitle,Proceedings of The 8th Conference on Robot Learning,,https://proceedings.mlr.press/v270/liang25a.html
C0085,Liniger2015OptimizationBased,article,Liniger,Alexander Liniger;Alexander Domahidi;Manfred Morari,personal;personal;personal,Optimization-based autonomous racing of 1:43 scale RC cars,2015,journal,Optimal Control Applications and Methods,10.1002/oca.2123,
C0062,Liu2023RoboticManipulation,article,Liu,Fei Liu;Entong Su;Jingpei Lu;Mingen Li;Michael C. Yip,personal;personal;personal;personal;personal,Robotic Manipulation of Deformable Rope-Like Objects Using Differentiable Compliant Position-Based Dynamics,2023,journal,IEEE Robotics and Automation Letters,10.1109/lra.2023.3264766,
C0027,Liu2024LearningGeneralizable,misc,Liu,Yueqian Liu,personal,Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing,2024,howpublished,arXiv,10.48550/arxiv.2411.04246,https://arxiv.org/abs/2411.04246
C0009,Loiacono2011AutomaticTrack,article,Loiacono,Daniele Loiacono; Luigi Cardamone; Pier Luca Lanzi,personal;personal;personal,Automatic Track Generation for High-End Racing Games Using Evolutionary Computation,2011,journal,IEEE Transactions on Computational Intelligence and AI in Games,10.1109/tciaig.2011.2163692,
C0074,Loquercio2020DeepDrone,article,Loquercio,Antonio Loquercio;Elia Kaufmann;René Ranftl;Alexey Dosovitskiy;Vladlen Koltun;Davide Scaramuzza,personal;personal;personal;personal;personal;personal,Deep Drone Racing: From Simulation to Reality With Domain Randomization,2020,journal,IEEE Transactions on Robotics,10.1109/tro.2019.2942989,
C0139,Loquercio2021LearningHigh,article,Loquercio,Antonio Loquercio; Elia Kaufmann; René Ranftl; Matthias Müller; Vladlen Koltun; Davide Scaramuzza,personal;personal;personal;personal;personal;personal,Learning high-speed flight in the wild,2021,journal,Science Robotics,10.1126/scirobotics.abg5810,
C0061,Macklin2016XPBDPosition,inproceedings,Macklin,Miles Macklin; Matthias Müller; Nuttapong Chentanez,personal;personal;personal,XPBD: Position-Based Simulation of Compliant Constrained Dynamics,2016,booktitle,Proceedings of the 9th International Conference on Motion in Games,10.1145/2994258.2994272,
C0064,Macklin2022WarpHigh,misc,Macklin,Miles Macklin,personal,Warp: A High-performance Python Framework for GPU Simulation and Graphics,2022,howpublished,NVIDIA GPU Technology Conference (GTC),,https://github.com/NVIDIA/warp
C0025,Madaan2020AirSimDrone,inproceedings,Madaan,Ratnesh Madaan; Nicholas Gyde; Sai Vemprala; Matthew Brown; Keiko Nagami; Tim Taubner; Eric Cristofalo; Davide Scaramuzza; Mac Schwager; Ashish Kapoor,personal;personal;personal;personal;personal;personal;personal;personal;personal;personal,AirSim Drone Racing Lab,2020,booktitle,Proceedings of the NeurIPS 2019 Competition and Demonstration Track,,https://proceedings.mlr.press/v123/madaan20a.html
C0176,Maierhofer2021CommonRoadScenario,inproceedings,Maierhofer,Sebastian Maierhofer; Moritz Klischat; Matthias Althoff,personal;personal;personal,CommonRoad Scenario Designer: An Open-Source Toolbox for Map Conversion and Scenario Creation for Autonomous Vehicles,2021,booktitle,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),10.1109/itsc48978.2021.9564885,
C0100,Marsh2024Uv,misc,Marsh,Charlie Marsh,personal,uv,2024,howpublished,Astral,,https://docs.astral.sh/uv/
