manifest_version,snapshot_sha256,protocol_sha256,execution_profile_sha256,prompt_template_sha256,assignment_id,batch_id,phase,candidate_id,cite_key,input_sha256,weight
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0074-01,screening-01,main,C0074,Loquercio2020DeepDrone,92712d25617af6970c90ecf93f719efe026e0a40fc2e6fc316411c4f93bdc713,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0076-01,screening-01,main,C0076,Kaufmann2023ChampionLevel,086cd858b90826252be920c2eb4d4ba6ddf543dd60b1a51bd4208ad9dc3c77d3,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0089-01,screening-01,main,C0089,Goldfain2019AutoRallyOpen,50a6e19fc2d451aefdb2d0da1ae48479fcd29eede1733072a42d3b2123ad482a,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0091-01,screening-01,main,C0091,AIRacingTech2020AIRacing,da87b4861aac8f4a7787d280e9ca5165a9d59265c4f32db3ab6acf7a10747f98,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0093-01,screening-01,main,C0093,Kalaria2023TowardsSafety,9382c493b51a4e7e0b40f65f7c9eed60d8863587ea15502315d3d64d2fb582c5,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0094-01,screening-01,main,C0094,Kalaria2023AdaptivePlanning,7e375e8cf8fc3c097f672726eb96c601de3fc7a6b906b07348158186d662a470,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0095-01,screening-01,main,C0095,ALSunni2025LLAMPC,d5e211f4515a3e640157de6a2049eae2c2385ea41b25ae06ea173b10efc70ce6,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0112-01,screening-01,main,C0112,Lesy2026ASVSimAirSim,ace7e6229f20699c952c493c45e6b30a8a4dc22c17040a7c3411b9e4f85be36a,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0118-01,screening-01,main,C0118,Sotiropoulos2016VirtualWorlds,8c84b29cf26edc1e2cb5096c0d53202f6282059550e7ba832cc73089b0e50508,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0119-01,screening-01,main,C0119,Herman2021LearnRace,6a3a05f15f4a004e740d4e612c301504a81f9b35d53f727c6802080213ea6375,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0120-01,screening-01,main,C0120,Yu2023AvoidBenchHigh,40c7feb3304e151c02f19a4014a003e67daeaef572210e927ec438c547afa164,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0121-01,screening-01,main,C0121,Wang2025EnvironmentPolicy,e30bfffd9d8b514f756361ecb6a68776389b05302d8a827a8424d65c329380a5,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0124-01,screening-01,main,C0124,,8d7a82393131096bb56fd676b7898cdd88ca176b682a0a5c06f55f8c3473c15c,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0126-01,screening-01,main,C0126,Poggenhans2018Lanelet2High,54935d67f58c139702bc3ea8712cfac0c2f3f268ddef7c19b98e35c360f0bc0a,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0127-01,screening-01,main,C0127,,d8aff3b9007a45f7d9ffad207bd81dd34b27909cf0d025492fd6d1dd04b684b4,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0129-01,screening-01,main,C0129,Xu2024OmniDronesEfficient,ba6d36662a157a6e409b9f15a838c1604cc71318f15e9d8d35e6b790c1d34991,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0130-01,screening-01,main,C0130,Yu2025MAVRLLearn,45af938660217557fe8d3af1a24f1bcfb0a19d58b15df5df874ff8ffe7b57bf8,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0134-01,screening-01,calibration,C0134,Ayerdi2023RoadSignSBFT,3f31e1bbc7a524493547d90db96df13be456f86940abe8a8743d8c1db607ed83,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0135-01,screening-01,main,C0135,DeVivo2023SpiraleSBFT,23e94cb43900179ea528e7993eaf7d9341b362dc5a84c4cc32d20a2923b5e0ad,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0140-01,screening-01,calibration,C0140,Cheng2024ExtremeParkour,f3e8eba599c3d9ec3570f5feacad61cf226eb5d0e92d0eec62fe1ecf9d2fbb65,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0142-01,screening-01,main,C0142,Zohdinasab2021DeepHyperionExploring,ff70f0604cc909c7f1ce77acf8737079e72482f427de6a2eca80896fe3ceb9b4,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0146-01,screening-01,main,C0146,Nylnder2025SearchBased,3ab88971eb63dccdad36d3ed379c6d41148531eec0310939b2abff846522c317,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0151-01,screening-01,main,C0151,Campos2015ProceduralGeneration,9a6b063dc3088c0fae6c7077f77d712b302cf66d360cfc9851696b54579c0897,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0152-01,screening-01,main,C0152,Muktadir2023ProceduralGeneration,ff31511e9caa40f4d440a3ed6d05c11a9e492b48cdaeaccb200d53c850349495,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0154-01,screening-01,main,C0154,Wang2019POETOpen,d4f19e31c9e13126ad92220af922a89e50a43d1595f8b5dd7ac143b9f1b49c41,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0161-01,screening-01,main,C0161,Liang2025EnvironmentCurriculum,3bdae3d664dcf502cdd44ab61ad88e4e1d7f07aa1bedc26d36e939a86e4e11e2,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0164-01,screening-01,main,C0164,Wan2025GenTeGenerative,8aec2b04cc71d123bc3460d7a17487373740ca685fc580d0266c6e9f8f071d2b,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0167-01,screening-01,main,C0167,Raj2026RobotSquid,565e170e9af01db08d1fb2cbe415b6588cb8bee5c47ea55c7692900ffe1cb471,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0168-01,screening-01,calibration,C0168,RoboNation20222022Maritime,ccf6c741383daf5e29238fe993e6409832b3f3fc93ee8df1bff942a55bc044bd,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0169-01,screening-01,main,C0169,ASAM2026ASAMOpenCRG,0fe9c80e837046eccab8b1ada12e83e25fdd65458457083270d7af268df3974b,1
2,c0977ed07d0c0bb25ea3a6be52e377f86d10bf3fff91d6bdccd389395e842c07,5bb02a2585ee00f9513a4929d4f7ad9027c4c15b6880293f2f46a8e72309d445,786c91a43b36e331ba86ee11857bf16b85893d62593c8fefc5a0178188d00325,0a22e8662ba61c9ceefe08cd8e534553346360ad7bffe98118785f34145af28b,A-C0170-01,screening-01,main,C0170,ASAM2024ASAMOpenDRIVE,30362de47a21440db13be82cb792e6d89d5afdbade696da74e31595c0f133b8a,1
